Completion Code (1=completed PhD; 2=left without PhD),Time to Degree,Time to Leaving,Discipline,Gender Code (1=F; 2=M),GRE V,GRE Q
1,6.00,,Engineering,1,330,780
1,8.00,,Engineering,1,390,600
1,6.00,,Engineering,1,500,730
1,4.00,,Engineering,1,500,730
1,6.00,,Engineering,1,510,800
1,5.00,,Engineering,1,530,650
1,6.00,,Engineering,1,540,790
1,6.00,,Engineering,1,550,790
1,7.00,,Engineering,1,570,680
1,6.00,,Engineering,1,590,770
1,7.00,,Engineering,1,600,720
1,6.00,,Engineering,1,610,760
1,7.00,,Engineering,1,680,760
1,7.00,,Engineering,2,330,640
1,6.00,,Engineering,2,380,790
1,7.00,,Engineering,2,390,670
1,6.00,,Engineering,2,450,610
1,9.00,,Engineering,2,470,680
1,8.00,,Engineering,2,470,750
1,4.00,,Engineering,2,480,730
1,5.00,,Engineering,2,490,760
1,7.00,,Engineering,2,500,640
1,6.00,,Engineering,2,500,710
1,6.00,,Engineering,2,500,770
1,7.00,,Engineering,2,500,800
1,6.00,,Engineering,2,520,750
1,5.00,,Engineering,2,530,730
1,5.00,,Engineering,2,540,750
1,5.00,,Engineering,2,550,710
1,5.00,,Engineering,2,550,710
1,7.00,,Engineering,2,550,750
1,6.00,,Engineering,2,550,760
1,6.00,,Engineering,2,550,770
1,8.00,,Engineering,2,560,680
1,7.00,,Engineering,2,560,750
1,4.00,,Engineering,2,570,790
1,7.00,,Engineering,2,570,790
1,5.00,,Engineering,2,580,770
1,7.00,,Engineering,2,580,770
1,7.00,,Engineering,2,580,770
1,8.00,,Engineering,2,600,720
1,6.00,,Engineering,2,630,750
1,6.00,,Engineering,2,630,770
1,4.00,,Engineering,2,630,770
1,4.00,,Engineering,2,720,800
1,4.00,,Engineering,1,380,730
1,8.00,,Engineering,1,440,560
1,6.00,,Engineering,1,550,730
1,9.00,,Engineering,1,610,720
1,5.00,,Engineering,1,630,770
1,6.00,,Engineering,2,410,650
1,6.00,,Engineering,2,430,560
1,6.00,,Engineering,2,460,770
1,6.00,,Engineering,2,510,680
1,6.00,,Engineering,2,530,690
1,6.00,,Engineering,2,580,740
